symbol,name,totalVolume
ordinal-shards,Ordinal Shards by Billy Restey,427368000
1337-zeros,1337 Zeros,425951058
root,Root,425315500
egg333,Runedragons - A BRC333 Audio PFP Collection,424391453
unigraphs,Unigraphs,421034422
ordevils,Ordevils,420687450
ordidoge,OrdiDoges,420270570
mutant-xmonkes,Mutant xMonkes,419169134
kings,BTC Kings,418772819
nocturnal-maxis,Nocturnal Maxis,417727831
zbit-loot-box,ZBIT Loot Box,417320786
cpnks,Cursed Punks,416253872
clay_puppets,Clay Puppets,415579142
runebanana,Rune Banana,411861652
liquid,$LIQUID PRE-BRC 2.0,411126374
ordinal-monkeys,Ordinal Monkeys,410800000
rune-igloos,RUNE IGLOOS by PNGS,408384890
lunatics,Lunatics,406088562
blocklegends,Block Legends,398470658
early-birds,Early Birds BRC 2.0,398230585
loboverse,Loboverse,397874447
bitcoin-knight-s2,Bitcoin Knight S2,396493740
lucidbtc,Lucidbtc,396475177
ordinalsgang,Ordinals Gang,393800000
ordlinks,Ordlinks,392630629
bitcoin-cyborgs,Bitcoin Cyborgs,390597969
the_odyssey,The Odyssey,390412893
poortraits,PoorTraits,390245911
ordinauts,Ordinauts,388120000
raystone,RayStone by Pawel Dudko,387803042
orditoadz,OrdiToadz,386475820
gumboworld,Gumbo World,385664935
metablends,Metablends,384641950
spectrumheroes,Spectrum Heroes,383917674
clay44,Clay:44,381427672
mothercluckers,Mother Cluckers,380404392
satoria-shop,Satoria Shop,376709969
orpepes-5000,ORPEPES 5000,375044536
smokes,Ordinal Smokes,370885000
frank,frank,370487540
mitosis-by-moodsoup,Mitosis by Moodsoup X Vivid Gallery,370164690
darkordinauts,Dark Ordinauts,369833399
recursion500,Recursion500,366277195
uncoded,Uncoded,361587217
piggies-world,Piggies World,361269990
orditroops,OrdiTroops,360295388
annons-recruit,BTC Annons | Recruits,359574252
insrc-founders-pass,Inscribed Space - Founders Pass,358572185
bitcoinlarva,Bitcoin Larva,357790830
tokemoji,Tokemoji,356718700
artifacts,Ordinal Artifacts,355609150
rune_ombi,Runes OMBI,355004112
shroomboys,Shroomboys,354250245
bitcoingizmos,Bitcoin Gizmos,352332800
owlinals,Owlinals - the First BRC333 Collection,349967488
experiment_9,Experiment 9 ,348395479
bitcoin-monkes,Bitcoin Monkes,347055113
clay-pepes,Clay Pepes by Brrrbon,343568937
antiderp,ANTIDERP METADUMBPROTOCOL,343456251
decimals,Decimals,342462639
memoryblocks,Memory Blocks,340063000
octoglyphs,The OctoGlyphs,334055829
worldpeace,"World Peace - ""Whirly Peas""",333006017
uniworlds-genesis,UniWorlds Genesis,330768312
rug_lords,Rug Lords,330763246
bitcroskull,bitCroSkull,327289980
hunter_beast,Hunter Beast's Bitcoin JPEGs,327000000
libertas,L.I.B.E.R.T.A.S. by Emanuele Dascanio [curated by OrdinalStudio],326846116
greeks,Ordinal Greeks,320869200
acsm,ACSM by Nullish,320538713
bitcoinbunnys,Bit Bunnys,317234709
sloveordinals,Slove,315387522
hoodinaldotxyz,Hoodinal,314017170
clayforce,Clay Force: Satoshinauts by Brrrbon,312321427
cypherprints,Cypherprints,311660600
ovols,Bitcoin Ovols,311558858
pixel-memes,PIXEL MEMES,310999434
fractalpuppets,Fractal Puppets,309489511
btcmachinedao,BTC MachineDAO,306100265
ordinal_rangers,Ordinal Rangers,303939911
bitcoinmiladys,Bitcoin Miladys,303464171
the_blocks,The Blocks by Theezy,301200200
bitcoinbeeings,Bitcoin Beeings,300105499
perpetualsvol1,Perpetuals Vol. 1 by Quadrillion,300002350
commanderdoug,Commander Doug,299147332
bitcoinbulls,Bitcoin Bulls,298685489
cappies,The Cappies,298357543
ordinal-bears,Ordinal Bears,297326777
unnamed,RuneX: UNNAMED GRAILS,296890000
artforthepeople,Art for the people!,294702390
katoshi-prime,OCM Katoshi Prime by OnChainMonkey®,294363704
goldrush,GOLDRUSH,293870000
palindromes,🦋 Palindromes Emergence by ⌬ Enchained.Games,291162600
blockmunchers,Blockmunchers,289300000
orbs,Orbinals,287644631
